FlockOfGeese Goose
FlockOfDucks Duck
FlockOfSwans Swan
FlockOfPigeons Pigeon
FlockOfDoves Dove
FlockOfSparrows Sparrow
FlockOfCrows Crow
FlockOfRavens Raven
FlockOfSeagulls Seagull
FlockOfPelicans Pelican
FlockOfFlamingos Flamingo
FlockOfHerons Heron
FlockOfEgrets Egret
FlockOfCranes Crane
FlockOfStorks Stork
FlockOfParrots Parrot
FlockOfParakeets Parakeet
FlockOfCanaries Canary
FlockOfChickens Chicken
FlockOfTurkeys Turkey
FlockOfQuail Quail
FlockOfPheasants Pheasant
FlockOfOwls Owl
FlockOfHawks Hawk
FlockOfEagles Eagle
FlockOfFalcons Falcon
GroupOfCats Cat
GroupOfDogs Dog
GroupOfRabbits Rabbit
GroupOfFoxes Fox
GroupOfBears Bear
GroupOfOtters Otter
GroupOfBeavers Beaver
GroupOfRaccoons Raccoon
GroupOfSquirrels Squirrel
GroupOfHedgehogs Hedgehog
GroupOfKangaroos Kangaroo
GroupOfKoalas Koala
GroupOfPandas Panda
GroupOfWolves Wolf
GroupOfLions Lion
GroupOfTigers Tiger
GroupOfLeopards Leopard
HerdOfCows Cow
HerdOfHorses Horse
HerdOfSheep Sheep
HerdOfGoats Goat
HerdOfDeer Deer
HerdOfBison Bison
HerdOfBuffalo Buffalo
HerdOfElephants Elephant
HerdOfGiraffes Giraffe
HerdOfZebras Zebra
HerdOfCamels Camel
HerdOfAntelope Antelope
HerdOfReindeer Reindeer
PackOfWolves Wolf
PackOfCoyotes Coyote
PackOfDogs Dog
PackOfHyenas Hyena
PrideOfLions Lion
TroopOfMonkeys Monkey
TroopOfBaboons Baboon
TroopOfGorillas Gorilla
TroopOfChimpanzees Chimpanzee
ColonyOfBats Bat
ColonyOfRabbits Rabbit
ColonyOfMice Mouse
ColonyOfRats Rat
ColonyOfSeals Seal
ColonyOfSeaLions SeaLion
PodOfDolphins Dolphin
PodOfWhales Whale
PodOfOrcas Orca
LitterOfPuppies Puppy
LitterOfKittens Kitten
LitterOfPiglets Piglet
SwarmOfBees Bee
SwarmOfWasps Wasp
SwarmOfHornets Hornet
SwarmOfButterflies Butterfly
SwarmOfMoths Moth
SwarmOfFlies Fly
SwarmOfMosquitoes Mosquito
SwarmOfLocusts Locust
NestOfAnts Ant
NestOfTermites Termite
HiveOfBees Bee
SchoolOfTuna Tuna
SchoolOfSalmon Salmon
SchoolOfSardines Sardine
SchoolOfHerring Herring
SchoolOfAnchovies Anchovy
SchoolOfMackerel Mackerel
SchoolOfTrout Trout
SchoolOfCod Cod
SchoolOfBass Bass
SchoolOfCarp Carp
SchoolOfGoldfish Goldfish
