CloudProvider ResourcePool
Node Gateway
AuthModule AccessPolicy
CacheCluster CacheFile
IndexShard IndexSegment
IngestionStage DatasetRecord
SensorNode HeartbeatLog
CollectorService ErrorReport
GatewayNode NodeCertificate
SchedulerService JobSpec
MessageQueue QueueMessage
BackendService SessionToken
FrontendModule ConfigFile
LogCollectorService AuditLog
AnalyticsPlatform BatchStage
WorkerPod BuildArtifact
DeployService PatchNote
DatabaseNode SnapshotFile
PolicyService AccessPolicy
StorageCluster ShardManifest
ComputeSystem ComputePool
RouterNode RoutingTable
EdgePlatform CacheFile
CoordinatorService MetadataRecord
APIModule SchemaFile
ModelService MetadataRecord
AuditService AuditLog
CollectorModule LogFile
SensorNetwork HeartbeatLog
AnalyticsService BatchStage
DeployPlatform PatchNote
ComputePlatform ComputePool
EdgeService CacheFile
SensorPlatform HeartbeatLog
AnalyticsSystem BatchStage
DeploySystemService PatchNote
ComputeProvider ComputePool
