Shadow OccludingObject
Rainbow Refraction
Thunder Lightning
Tsunami Earthquake
Tide Gravity
Weight Gravity
Orbit Gravity
Wind PressureDifference
Wave Wind
DustStorm Wind
Aurora SolarWind
Frost LowTemperature
Ice FreezingPoint
Steam Heat
Fire Fuel
Smoke Combustion
Echo Reflection
Refraction Medium
Interference CoherentLight
Diffraction Obstacle
LightSpot Aperture
Pitch Frequency
Loudness Amplitude
Breathing Oxygen
Photosynthesis Sunlight
Fermentation Yeast
Rot Microorganisms
Growth Nutrients
Excretion Metabolism
Vision Light
Hearing SoundWaves
Touch Pressure
Virus Host
Parasite HostOrganism
Pollination Pollinator
Germination Moisture
Pollen Stamen
Fruit Fertilization
Seed Embryo
Hibernation LowTemperature
Fog HighHumidity
Cloud Condensation
Rain Cloud
Snow LowTemperature
Hail Updraft
Sleet FreezingLayer
Drizzle StratusCloud
Thunderstorm Convection
Tornado WindShear
Hurricane WarmOcean
Typhoon WarmOcean
Cyclone LowPressure
Monsoon SeasonalHeatingContrast
SeaBreeze LandSeaTemperatureDifference
LandBreeze LandSeaTemperatureDifference
Heatwave HighPressureRidge
ColdSnap PolarAirMass
Blizzard StrongWind
Haze Aerosols
Smog AirPollution
Mirage TemperatureGradient
Halo IceCrystals
Sundog IceCrystals
Glory Backscattering
BlueSky RayleighScattering
RedSunset Scattering
FataMorgana TemperatureInversion
Flood HeavyRain
FlashFlood IntenseRainfall
Drought LowPrecipitation
RiverDelta SedimentDeposition
Erosion WaterFlow
Sedimentation GravitySettling
RipCurrent WaveAction
StormSurge LowPressure
Seiche StandingWave
Mudslide SaturatedSoil
Avalanche Gravity
VolcanicEruption MagmaPressure
Geyser GeothermalHeat
HotSpring GeothermalHeat
Sinkhole RockDissolution
Earthquake TectonicMovement
Fault TectonicStress
DayNightCycle EarthRotation
Seasons AxialTilt
MoonPhases Sunlight
Meteor AtmosphericFriction
MeteorShower CometDebris
Crater Impact
Sunrise EarthRotation
Sunset EarthRotation
Solstice AxialTilt
Equinox AxialTilt
SolarFlare MagneticReconnection
Sunspot MagneticField
GeometricEclipse OrbitalAlignment
Reflection SmoothSurface
Polarization Anisotropy
LensFocus Curvature
Magnification Lens
CameraImage Lens
PrismSpectrum Dispersion
ColorSeparation Dispersion
TotalInternalReflection RefractiveIndexContrast
FiberOpticGuiding TotalInternalReflection
Glare SpecularReflection
ShadowUmbra Occlusion
Penumbra ExtendedLightSource
Caustics Refraction
MoirePattern Interference
Speckle CoherentLight
Hologram Interference
LaserBeam StimulatedEmission
Resonance NaturalFrequency
StandingWave BoundaryConditions
DopplerShift RelativeMotion
EchoLocation Echo
SonarReturn Reflection
Beats FrequencyDifference
Shockwave SupersonicSpeed
FrictionHeat Friction
Work Force
Acceleration NetForce
Pressure Force
Buoyancy DisplacedFluid
Lift Airflow
Drag AirResistance
TerminalVelocity Drag
CentripetalAcceleration CircularMotion
Rust Oxidation
Corrosion Electrochemistry
Combustion Oxygen
Evaporation Heat
Boiling VaporPressure
Condensation Cooling
Sublimation LowPressure
Crystallization Supersaturation
Osmosis ConcentrationGradient
Diffusion ConcentrationGradient
EnzymeCatalysis Enzyme
Digestion Enzymes
MuscleContraction ATP
CellDivision DNAReplication
ProteinSynthesis Ribosome
Immunity Antibodies
Inflammation ImmuneResponse
Fever ImmuneResponse
Allergy ImmuneResponse
Infection Pathogen
Disease Pathogen
Malaria Plasmodium
Influenza Virus
AntibioticResistance SelectionPressure
Evolution NaturalSelection
Adaptation SelectionPressure
Mutation DNAError
Cancer Mutation
Decomposition Microorganisms
Composting Microorganisms
Bioluminescence LuciferinReaction
FermentationAlcohol Yeast
Yogurt Bacteria
Cheese Bacteria
Pickling Acid
BreadRising Yeast
Sourdough LacticAcidBacteria
Spoilage Microorganisms
Taste Chemicals
Smell VolatileMolecules
Balance InnerEar
Pain Nociceptors
Sweating Heat
Shivering Cold
Heartbeat PacemakerCells
BloodPressure HeartPump
BreathingRate CarbonDioxideLevel
SeedDispersal Wind
SeedDispersalAnimal Animals
Migration SeasonalChange
Camouflage BackgroundMatching
Predation Predator
Symbiosis MutualBenefit
NitrogenFixation Bacteria
Mycorrhiza Fungi
Eutrophication NutrientRunoff
AlgalBloom Nutrients
