LawFirm CaseTeam InternLawyer
AccountingFirm AuditTeam AuditAssistant
AdvertisingAgency CreativeTeam Illustrator
ConsultingCompany ProjectTeam ExternalConsultant
HeadhunterCompany CandidateList Candidate
DesignInstitute ProjectDepartment Drafter
RenovationCompany ConstructionTeam Welder
SupervisionCompany OnsiteTeam Inspector
EtiquetteCompany ReceptionTeam Hostess
SecurityCompany DutyPost SecurityGuard
CleaningCompany ContractSite Cleaner
LogisticsCenter MaintenanceDepartment Plumber
SoftwareOutsourcingCompany OnsiteTeam Architect
TestingAgency CrowdtestGroup Tester
PollingAgency InterviewTeam Interviewer
ConventionCenter SetupTeam Builder
AuctionHouse ExpertPanel Appraiser
Pawnshop EvaluationTeam Evaluator
CrowdfundingPlatform SupporterGroup Investor
ConstructionSite Contractor CraneDriver
PhotoStudio PhotographyTeam MakeupArtist
FoodDeliveryPlatform RiderTeam PartTimeRider
University Faculty Professor
EducationGroup PrivateSchool Teacher
ResearchInstitute Laboratory Researcher
AffiliatedHospital Department Doctor
Museum ExhibitionHall TourGuide
TrainingInstitute BranchCampus TeachingAssistant
Kindergarten Class Child
ExpeditionTeam ExpertGroup SupportStaff
LecturerTeam OutreachGroup Member
ArtCollege Studio Student
SportsAuthority NationalTeam TeamDoctor
CorrespondenceCenter TeachingSite Student
VocationalSchool TrainingBase Instructor
ProfessionalSociety Committee Secretary
StudyCamp CampUnit Counselor
ExaminationBoard QuestionSettingTeam Teacher
ScienceMuseum ExperienceZone Volunteer
ConvalescentHome NursingTeam Nurse
ClinicAlliance MemberClinic Pharmacist
PublicHealthAgency TaskForce Investigator
BotanicalGarden MaintenanceTeam Gardener
ArchiveCenter ProcessingTeam Archivist
YouthCenter InterestClass SubstituteTeacher
OnlineLearningPlatform CourseTeam Instructor
ShoppingMall RetailStore SalesAssistant
OfficeBuilding TenantCompany Employee
IndustrialPark ResidentCompany Technician
FarmersMarket Stall Vendor
CommercialStreet RestaurantShop Waiter
LogisticsPark CourierCompany Courier
Port FreightForwarder CustomsBroker
WholesaleMarket Wholesaler Porter
PedestrianStreet StreetStall Operator
StartupIncubator StartupCompany Founder
CoworkingSpace ResidentTeam Programmer
SupermarketChain Store Stocker
ExhibitionCenter Booth Exhibit
PharmacyChain BranchStore LicensedPharmacist
SalonChain Shop Hairdresser
Gym PersonalTrainingClass Trainee
Hotel RecreationDepartment Technician
TouristAttraction SouvenirShop Clerk
AutoMall Dealership Salesperson
LivestreamBase TalentAgency Streamer
SoftwarePark OutsourcingTeam Tester
BondedZone TradingCompany WarehouseKeeper
MiningArea ExtractionCrew Miner
FilmFestival ParticipatingCrew Actor
Theater PerformanceTroupe Dancer
Orchestra Section Musician
TourGroup Subgroup Tourist
PhotoTour CreativeGroup Photographer
TalentShow RegionalDivision Contestant
Carnival Ride Operator
Marathon RunningGroup Runner
ChessInstitute Team ChessPlayer
EquestrianClub Stable Horse
FilmStudioCity Crew Extra
MusicFestival Band Bassist
DebateTournament Delegation Debater
EsportsLeague Club Manager
TempleFair Stall Artisan
Racetrack Team Mechanic
ModelingContest Agency Model
PerformingArtsTroupe AcrobaticsTeam Performer
