CloudProvider ResourcePool PhysicalServer
EdgeComputingNetwork Node Gateway
CDN EdgeServer CacheFile
PaymentSystem AuthModule AccessPolicy
StreamingPlatform CacheCluster CacheFile
SearchService IndexShard IndexSegment
TelemetryPipeline IngestionStage DatasetRecord
TrafficNetwork SensorNode HeartbeatLog
WeatherSystem CollectorService ErrorReport
SmartHomeNetwork GatewayNode NodeCertificate
WarehouseSystem SchedulerService JobSpec
BookingPlatform MessageQueue QueueMessage
MessagingService BackendService SessionToken
VideoService FrontendModule ConfigFile
AudioService LogCollectorService AuditLog
AnalyticsPlatform BatchStage DataBatch
BuildSystem WorkerPod BuildArtifact
DeployService RepoBranch PatchNote
MonitoringSystem DatabaseNode SnapshotFile
IdentityProvider PolicyService AccessPolicy
StoragePlatform StorageCluster ShardManifest
ComputeSystem ComputePool TaskTicket
RoutingNetwork RouterNode RoutingTable
EdgePlatform EdgeServer CacheFile
CloudSystem CoordinatorService MetadataRecord
CatalogService APIModule SchemaFile
RecommendationEngine ModelService MetadataRecord
FraudSystem AuditService AuditLog
LoggingService CollectorModule LogFile
SensorNetwork SensorHub HeartbeatLog
PaymentPlatform MessageQueue QueueMessage
StreamingService CacheCluster CacheFile
SearchEngine IndexShard IndexSegment
TelemetrySystem IngestionStage DatasetRecord
TrafficSystem SensorNode HeartbeatLog
WeatherNetwork CollectorService ErrorReport
SmartHomePlatform GatewayNode NodeCertificate
WarehousePlatform SchedulerService JobSpec
BookingService MessageQueue QueueMessage
MessagingPlatform BackendService SessionToken
VideoPlatform FrontendModule ConfigFile
AudioPlatformService LogCollectorService AuditLog
AnalyticsService BatchStage DataBatch
BuildPlatform WorkerPod BuildArtifact
DeployPlatform RepoBranch PatchNote
MonitoringPlatform DatabaseNode SnapshotFile
IdentitySystem PolicyService AccessPolicy
StorageSystem StorageCluster ShardManifest
ComputePlatform ComputePool TaskTicket
RoutingPlatform RouterNode RoutingTable
EdgeService EdgeServer CacheFile
CloudProviderService CoordinatorService MetadataRecord
CatalogPlatform APIModule SchemaFile
RecommendationPlatform ModelService MetadataRecord
FraudPlatform AuditService AuditLog
LoggingPlatform CollectorModule LogFile
SensorPlatform SensorHub HeartbeatLog
PaymentNetwork AuthModule AccessPolicy
StreamingNetwork CacheCluster CacheFile
SearchNetwork IndexShard IndexSegment
TelemetryNetwork IngestionStage DatasetRecord
TrafficPlatform SensorNode HeartbeatLog
WeatherPlatform CollectorService ErrorReport
SmartHomeService GatewayNode NodeCertificate
WarehouseService SchedulerService JobSpec
BookingSystemService MessageQueue QueueMessage
MessagingSystemService BackendService SessionToken
VideoSystemService FrontendModule ConfigFile
AudioSystemService LogCollectorService AuditLog
AnalyticsSystem BatchStage DataBatch
BuildSystemService WorkerPod BuildArtifact
DeploySystemService RepoBranch PatchNote
MonitoringSystemService DatabaseNode SnapshotFile
IdentityPlatform PolicyService AccessPolicy
StorageProvider StorageCluster ShardManifest
ComputeProvider ComputePool TaskTicket
RoutingProvider RouterNode RoutingTable
EdgeProvider EdgeServer CacheFile
CloudPlatform CoordinatorService MetadataRecord
CatalogProvider APIModule SchemaFile
RecommendationProvider ModelService MetadataRecord
FraudProvider AuditService AuditLog
LoggingProvider CollectorModule LogFile
SensorProvider SensorHub HeartbeatLog
