PersonRole Person Organism
Teacher PersonRole Person
Student PersonRole Person
Doctor PersonRole Person
Lawyer PersonRole Person
Engineer PersonRole Person
Scientist PersonRole Person
Artist PersonRole Person
Athlete PersonRole Person
Politician PersonRole Person
Physicist Scientist PersonRole
Chemist Scientist PersonRole
Biologist Scientist PersonRole
Mathematician Scientist PersonRole
Astronomer Scientist PersonRole
ComputerScientist Scientist PersonRole
SoftwareEngineer Engineer PersonRole
CivilEngineer Engineer PersonRole
ElectricalEngineer Engineer PersonRole
MechanicalEngineer Engineer PersonRole
PrimarySchoolTeacher Teacher PersonRole
HighSchoolTeacher Teacher PersonRole
UniversityProfessor Teacher PersonRole
TeachingAssistant Teacher PersonRole
UndergraduateStudent Student PersonRole
GraduateStudent Student PersonRole
Surgeon Doctor PersonRole
Dentist Doctor PersonRole
Attorney Lawyer PersonRole
Paralegal Lawyer PersonRole
Author Artist PersonRole
Musician Artist PersonRole
Actor Artist PersonRole
Painter Artist PersonRole
Sculptor Artist PersonRole
Composer Musician Artist
Runner Athlete PersonRole
Swimmer Athlete PersonRole
BasketballPlayer Athlete PersonRole
FootballPlayer Athlete PersonRole
TennisPlayer Athlete PersonRole
Boxer Athlete PersonRole
AlbertEinstein Physicist Scientist
IsaacNewton Physicist Scientist
MarieCurie Chemist Scientist
CharlesDarwin Biologist Scientist
GalileoGalilei Astronomer Scientist
JohannesKepler Astronomer Scientist
AdaLovelace Mathematician Scientist
AlanTuring Mathematician Scientist
CarlGauss Mathematician Scientist
LeonhardEuler Mathematician Scientist
KatherineJohnson Mathematician Scientist
GraceHopper ComputerScientist Scientist
DonaldKnuth ComputerScientist Scientist
EdsgerDijkstra ComputerScientist Scientist
NikolaTesla ElectricalEngineer Engineer
ThomasEdison Engineer PersonRole
SteveWozniak Engineer PersonRole
TimBernersLee ComputerScientist Scientist
LinusTorvalds SoftwareEngineer Engineer
GuidoVanRossum SoftwareEngineer Engineer
MargaretHamilton SoftwareEngineer Engineer
LeonardoDaVinci Artist PersonRole
VincentVanGogh Painter Artist
PabloPicasso Painter Artist
Michelangelo Sculptor Artist
LudwigvanBeethoven Composer Musician
WolfgangAmadeusMozart Composer Musician
WilliamShakespeare Author Artist
JaneAusten Author Artist
MarkTwain Author Artist
NelsonMandela Politician PersonRole
AbrahamLincoln Politician PersonRole
WinstonChurchill Politician PersonRole
AngelaMerkel Politician PersonRole
BarackObama Politician PersonRole
SerenaWilliams TennisPlayer Athlete
MichaelJordan BasketballPlayer Athlete
UsainBolt Runner Athlete
LionelMessi FootballPlayer Athlete
CristianoRonaldo FootballPlayer Athlete
MuhammadAli Boxer Athlete
SimoneBiles Athlete PersonRole
Veterinarian Doctor PersonRole
Economist Scientist PersonRole
Geologist Scientist PersonRole
Psychologist Scientist PersonRole
Pilot PersonRole Person
Chef PersonRole Person
Baker PersonRole Person
Journalist PersonRole Person
Editor PersonRole Person
Translator PersonRole Person
Librarian PersonRole Person
ProjectManager PersonRole Person
ProductManager PersonRole Person
Designer Artist PersonRole
Accountant PersonRole Person
Firefighter PersonRole Person
PoliceOfficer PersonRole Person
Farmer PersonRole Person
NobelLaureate PersonRole Person
Entrepreneur PersonRole Person
Photographer Artist PersonRole
Linguist Scientist PersonRole
Historian Scientist PersonRole
Sociologist Scientist PersonRole
DataEngineer Engineer PersonRole
DevOpsEngineer Engineer PersonRole
SecurityEngineer Engineer PersonRole
EmergencyPhysician Doctor PersonRole
Pediatrician Doctor PersonRole
Cardiologist Doctor PersonRole
