Fireplace Firewood
Hydropower River
Car Gasoline
Rain WaterVapor
Sailboat Wind
SolarPower Sunlight
TapWater Aquifer
TapWater Reservoir
Car EngineOil
DieselTruck Diesel
GardenLight SolarPower
GasGrill Propane
Packaging Plastic
Molding Plastic
Printing Paper
Glassmaking Sand
NoteTaking Paper
Knitting Wool
SaladDressing Oil
Paving Asphalt
Microwave WallOutlet
Refrigerator WallOutlet
Television WallOutlet
Brewing CoffeeBeans
PowerGeneration CoalPlant
PowerGeneration NuclearPlant
PowerGeneration GasPlant
Writing Pen
Washing Soap
Knitting WoolYarn
Camping NylonTent
Fishing FishingLine
Coloring Marker
Insulation PlasticFoam
Climbing NylonRope
Weaving CottonFabric
Sewing CottonThread
Driving Car
Erasing Eraser
Sketching Paper
Roofing Tar
Boating Sailboat
Printing Printer
Wiring CopperWire
NoteTaking Notebook
PlasticPackaging Plastic
PlasticBottling Plastic
RubberTire Rubber
PaperPrinting Paper
CardboardBox Cardboard
SoapMaking Oil
CandleMaking Wax
AsphaltPaving Asphalt
PaintMixing Paint
PlasticRecycling Plastic
NylonWeaving Nylon
PolyesterClothing Polyester
LatexGloves Latex
SiliconeSealant Silicone
GlassBottle Glass
PlasticBag Plastic
RubberBand Rubber
BottleBlowing Plastic
FilmWrapping Plastic
RubberMolding Rubber
RubberSealing Rubber
PaperRecycling Paper
BookBinding Paper
PlasticInjection Plastic
FoamCushion Foam
WaterBottle Plastic
Plumbing Hose
Raincoat Polyester
Charging Smartphone
