Country GeopoliticalEntity
Afghanistan Country
Albania Country
Algeria Country
Andorra Country
Angola Country
AntiguaandBarbuda Country
Argentina Country
Armenia Country
Australia Country
Austria Country
Azerbaijan Country
Bahamas Country
Bahrain Country
Bangladesh Country
Barbados Country
Belarus Country
Belgium Country
Belize Country
Benin Country
Bhutan Country
BosniaandHerzegovina Country
Botswana Country
Brazil Country
BruneiDarussalam Country
Bulgaria Country
BurkinaFaso Country
Burundi Country
CaboVerde Country
Cambodia Country
Cameroon Country
Canada Country
CentralAfricanRepublic Country
Chad Country
Chile Country
China Country
Colombia Country
Comoros Country
Congo Country
CostaRica Country
Croatia Country
Cuba Country
Cyprus Country
Czechia Country
CotedIvoire Country
Denmark Country
Djibouti Country
Dominica Country
DominicanRepublic Country
Ecuador Country
Egypt Country
ElSalvador Country
EquatorialGuinea Country
Eritrea Country
Estonia Country
Eswatini Country
Ethiopia Country
Fiji Country
Finland Country
France Country
Gabon Country
Gambia Country
Georgia Country
Germany Country
Ghana Country
Greece Country
Grenada Country
Guatemala Country
Guinea Country
GuineaBissau Country
Guyana Country
Haiti Country
Honduras Country
Hungary Country
Iceland Country
India Country
Indonesia Country
Iraq Country
Ireland Country
Israel Country
Italy Country
Jamaica Country
Japan Country
Jordan Country
Kazakhstan Country
Kenya Country
Kiribati Country
KoreaRepublicof Country
Kuwait Country
Kyrgyzstan Country
Latvia Country
Lebanon Country
Lesotho Country
Liberia Country
Libya Country
Liechtenstein Country
Lithuania Country
Luxembourg Country
Madagascar Country
Malawi Country
Malaysia Country
Maldives Country
Mali Country
Malta Country
MarshallIslands Country
Mauritania Country
Mauritius Country
Mexico Country
Netherlands Kingdom
Kingdom State
NewZealand IslandNation
IslandNation State
Nigeria FederalRepublic
FederalRepublic Republic
Norway ConstitutionalMonarchy
ConstitutionalMonarchy Monarchy
Pakistan IslamicRepublic
IslamicRepublic Republic
Peru Republic
Republic State
Philippines ArchipelagoNation
ArchipelagoNation State
Poland ParliamentaryRepublic
ParliamentaryRepublic Republic
Portugal Republic
Republic Country
Qatar Emirate
Emirate State
Romania SemiPresidentialRepublic
SemiPresidentialRepublic Republic
Russia Federation
Federation State
Rwanda PresidentialRepublic
PresidentialRepublic Republic
SaudiArabia AbsoluteMonarchy
AbsoluteMonarchy Monarchy
Senegal UnitaryRepublic
UnitaryRepublic Republic
Singapore CityState
CityState State
Slovakia CentralEuropeanCountry
CentralEuropeanCountry EuropeanCountry
Slovenia AlpineCountry
AlpineCountry EuropeanCountry
SouthAfrica AfricanCountry
AfricanCountry Country
Spain ParliamentaryMonarchy
ParliamentaryMonarchy Monarchy
Sweden Kingdom
Kingdom Country
Switzerland Confederation
Confederation State
Thailand SoutheastAsianCountry
SoutheastAsianCountry AsianCountry
Tunisia NorthAfricanCountry
NorthAfricanCountry AfricanCountry
Turkey TranscontinentalCountry
TranscontinentalCountry Country
BoliviaPlurinationalStateof Country
CongoTheDemocraticRepublicofthe Country
HolySeeVaticanCityState Country
IranIslamicRepublicof Country
KoreaDemocraticPeoplesRepublicof Country
LaoPeoplesDemocraticRepublic Country
