University Library Book
SchoolDistrict School Student
BirdMarket BirdCage Thrush
ImageLibrary Folder File
CityMarket DisplayCase Artifact
MuseumStore GlassCabinet MuseumArtifact
LibraryWarehouse ArchiveFolder ArchiveDocument
KitchenDepot SpiceRack SpiceJar
PharmacyStore MedicineCabinet MedicineBottle
HardwareStore PartsCrate SparePart
CampingStore StorageBin Blanket
SportsShop Locker SportsBall
BakeryMarket Tray BreadLoaf
SeafoodMarket FrozenDrawer FrozenFish
CoffeeStore Crate CoffeeBean
ChocolateShop Box ChocolateBar
TeaStore Case TeaTin
WineStore WineRack WineBottle
ArtGallery Showcase Painting
PhotoStudio Album Photograph
MapShop Drawer MapPoster
WorkshopDepot ToolBox ToolKit
ArchiveRoom Collection Coin
DesertDepot Bin DriedHerb
HospitalStore Cabinet MedicineBottle
WildlifeDepot Cage Rabbit
Kitchen Jar Jam
School Lunchbox Apple
School Lunchbox Banana
GroceryStore Basket Orange
FarmersMarket Crate Grapes
GroceryStore Basket Strawberry
GroceryStore Basket Blueberry
FarmersMarket Crate Raspberry
GroceryStore Basket Mango
FarmersMarket Crate Pineapple
GroceryStore Basket Watermelon
FarmersMarket Crate Peach
GroceryStore Basket Pear
FarmersMarket Crate Plum
GroceryStore Basket Cherry
FarmersMarket Crate Apricot
GroceryStore Basket Kiwi
FarmersMarket Crate Lemon
GroceryStore Basket Lime
FarmersMarket Crate Coconut
GroceryStore Basket Papaya
FarmersMarket Crate Avocado
GroceryStore Basket Tomato
FarmersMarket Crate Cucumber
GroceryStore Basket Carrot
FarmersMarket Crate Potato
GroceryStore Basket Onion
FarmersMarket Crate Garlic
GroceryStore Basket Broccoli
FarmersMarket Crate Spinach
GroceryStore Basket Lettuce
FarmersMarket Crate Cabbage
GroceryStore Basket Cauliflower
FarmersMarket Crate Pepper
GroceryStore Basket Mushroom
FarmersMarket Crate Corn
GroceryStore Basket Peas
FarmersMarket Crate Beans
GroceryStore Basket Lentils
Supermarket Bag Rice
Pantry Box Pasta
Supermarket Bag Bread
Supermarket Bag Bagel
Supermarket Bag Tortilla
Bakery Tray Croissant
Bakery Tray Muffin
Bakery Tray Pancake
Bakery Tray Waffle
Pantry Box Cereal
Pantry Box Oatmeal
Pantry Box Granola
Cafe Bottle Coffee
Cafe Bottle Tea
Supermarket Carton Juice
Cafe Bottle Soda
PicnicArea Cooler Water
PicnicArea Cooler SparklingWater
PicnicArea Cooler Lemonade
Cafe Bottle Smoothie
Cafe Bottle Cocoa
Supermarket Bag Chocolate
Pantry Box Cookie
Pantry Box Brownie
Bakery Tray Cake
Bakery Tray Pie
PicnicArea Cooler IceCream
PicnicArea Cooler Popsicle
Pantry Jar Honey
Pantry Jar PeanutButter
Cafe Bottle OliveOil
Cafe Bottle Vinegar
Cafe Bottle Ketchup
Cafe Bottle Mustard
Pantry Jar Mayonnaise
Pantry Jar Pickles
