line	triple	reasons
2	CarOwnersClub Convoy Driver	b='Convoy' is a temporary list/formation | b='Convoy' is temporary group
13	Concert Band Musician	a='Concert' is an event/temporary activity, not a stable aggregator
18	ConcertHall Setlist Song	b='Setlist' is a temporary list/formation
19	DJMix Playlist Track	a='DJMix' is an event/temporary activity, not a stable aggregator
90	Stadium Audience Spectator	b='Audience' is temporary group | c='Spectator' is a transient role, reads as association (not aggregation)
91	Stadium Audience Fan	b='Audience' is temporary group | c='Fan' is a transient role, reads as association (not aggregation)
92	Stadium Audience Supporter	b='Audience' is temporary group
93	Stadium Audience TicketHolder	b='Audience' is temporary group
138	Conference Panel Speaker	a='Conference' is an event/temporary activity, not a stable aggregator
139	Conference Panel Moderator	a='Conference' is an event/temporary activity, not a stable aggregator
140	Conference Panel Guest	a='Conference' is an event/temporary activity, not a stable aggregator | c='Guest' is a transient role, reads as association (not aggregation)
141	Conference Panel Presenter	a='Conference' is an event/temporary activity, not a stable aggregator
146	Wedding Party Guest	c='Guest' is a transient role, reads as association (not aggregation)
