triple
School Class Student
School Class Teacher
School Class Tutor
School Faculty Teacher
School Faculty Counselor
School Staff Principal
School Staff Counselor
School Staff Janitor
School Staff Clerk
School Staff Guard
School Staff Coach
School Staff Assistant
School Committee Member
School Committee Volunteer
School Committee Coach
University Department Professor
University Department Researcher
University Department Accountant
University Department Technician
University Department Administrator
University Faculty Researcher
University Faculty Lecturer
University Staff Administrator
University Staff Advisor
University Staff Technician
University Board Director
University Board Treasurer
University Board Manager
Hospital Ward Doctor
Hospital Ward Surgeon
Hospital Department Nurse
Hospital Department Clerk
Hospital Staff Doctor
Hospital Staff Nurse
Hospital Staff Paramedic
Clinic Staff Receptionist
Clinic Office Clerk
Clinic Office Manager
Company Department Designer
Company Department Lawyer
Company Team Engineer
Company Team Designer
Company Team Developer
Company Team Tester
Company Team Manager
Company Team Analyst
Company Division Manager
Company Division Engineer
Company Division Analyst
Company Division Designer
Company Board Chairperson
Factory Department Mechanic
Factory Department Supervisor
Factory Staff Worker
Factory Staff Mechanic
Factory Staff Supervisor
Restaurant Kitchen Chef
Restaurant Kitchen Baker
Restaurant Staff Waiter
Restaurant Staff Host
Restaurant Staff Bartender
Restaurant Staff Cashier
Restaurant Staff Manager
Restaurant Staff Cleaner
Cafe Staff Barista
Cafe Staff Baker
Store Staff Stocker
Hotel Staff Concierge
Hotel Staff Housekeeper
Theater Cast Actor
Theater Crew Director
Theater Crew Technician
Theater Crew Manager
Theater Crew Producer
Theater Staff Usher
Studio Crew Editor
Studio Crew Photographer
Studio Staff Editor
Museum Staff Curator
Museum Staff Guide
Newsroom Staff Photographer
Newsroom Staff Producer
Bank Branch Teller
Bank Branch Manager
Bank Branch Clerk
Court Jury Juror
Court Staff Judge
Court Staff Bailiff
Church Choir Singer
Church Staff Priest
Church Staff Pastor
Charity Committee Coordinator
Neighborhood Board Member
Airport Staff Controller
Airline Crew Pilot
Airline Crew Attendant
Airline Staff Agent
Camp Staff Cook
