line	triple	reasons
5	School CrowdOfStudents Student	b uses temporary group type 'Crowd' | people b prefix 'Crowd' is not an allowed stable aggregation group
15	Library CircleOfTutors Tutor	b uses temporary group type 'Circle' | people b prefix 'Circle' is not an allowed stable aggregation group
18	Team RosterOfPlayers Player	b is a roster/list, reads as association/list rather than aggregation | people b prefix 'Roster' is not an allowed stable aggregation group
19	Tournament GroupOfPlayers Player	a='Tournament' is an event/temporary activity, not a stable aggregator
24	Conference PanelOfCoaches Coach	a='Conference' is an event/temporary activity, not a stable aggregator | people b prefix 'Panel' is not an allowed stable aggregation group
26	Tournament CrewOfReferees Referee	a='Tournament' is an event/temporary activity, not a stable aggregator
28	Tournament PanelOfReferees Referee	a='Tournament' is an event/temporary activity, not a stable aggregator | people b prefix 'Panel' is not an allowed stable aggregation group
31	Stadium CrowdOfFans Fan	b uses temporary group type 'Crowd' | c='Fan' is a transient role, reads as association (not aggregation) | people b prefix 'Crowd' is not an allowed stable aggregation group
32	Arena AudienceOfFans Fan	b uses temporary group type 'Audience' | c='Fan' is a transient role, reads as association (not aggregation) | people b prefix 'Audience' is not an allowed stable aggregation group
33	Club GroupOfFans Fan	c='Fan' is a transient role, reads as association (not aggregation)
34	BoxOffice LineOfFans Fan	b uses temporary group type 'Line' | c='Fan' is a transient role, reads as association (not aggregation) | people b prefix 'Line' is not an allowed stable aggregation group
35	Stadium SeaOfFans Fan	c='Fan' is a transient role, reads as association (not aggregation) | people b prefix 'Sea' is not an allowed stable aggregation group
40	Festival CrewOfMembers Member	a='Festival' is an event/temporary activity, not a stable aggregator
47	Festival BandOfSingers Singer	a='Festival' is an event/temporary activity, not a stable aggregator
48	Concert GroupOfSingers Singer	a='Concert' is an event/temporary activity, not a stable aggregator
51	Concert BandOfMusicians Musician	a='Concert' is an event/temporary activity, not a stable aggregator
53	Festival GroupOfMusicians Musician	a='Festival' is an event/temporary activity, not a stable aggregator
59	Show CrewOfDancers Dancer	a='Show' is an event/temporary activity, not a stable aggregator
64	Factory ShiftOfEmployees Employee	people b prefix 'Shift' is not an allowed stable aggregation group
67	Factory ShiftOfWorkers Worker	people b prefix 'Shift' is not an allowed stable aggregation group
71	Store LineOfCustomers Customer	b uses temporary group type 'Line' | c='Customer' is a transient role, reads as association (not aggregation) | people b prefix 'Line' is not an allowed stable aggregation group
72	Store QueueOfCustomers Customer	b uses temporary group type 'Queue' | c='Customer' is a transient role, reads as association (not aggregation) | people b prefix 'Queue' is not an allowed stable aggregation group
73	Market CrowdOfCustomers Customer	b uses temporary group type 'Crowd' | c='Customer' is a transient role, reads as association (not aggregation) | people b prefix 'Crowd' is not an allowed stable aggregation group
74	Mall GroupOfCustomers Customer	c='Customer' is a transient role, reads as association (not aggregation)
75	Cafe PartyOfCustomers Customer	c='Customer' is a transient role, reads as association (not aggregation) | people b prefix 'Party' is not an allowed stable aggregation group
76	Hotel GroupOfGuests Guest	c='Guest' is a transient role, reads as association (not aggregation)
77	Restaurant PartyOfGuests Guest	c='Guest' is a transient role, reads as association (not aggregation) | people b prefix 'Party' is not an allowed stable aggregation group
78	Lobby CrowdOfGuests Guest	b uses temporary group type 'Crowd' | c='Guest' is a transient role, reads as association (not aggregation) | people b prefix 'Crowd' is not an allowed stable aggregation group
79	Club TeamOfGuests Guest	c='Guest' is a transient role, reads as association (not aggregation)
80	School ClubOfGuests Guest	c='Guest' is a transient role, reads as association (not aggregation)
84	Festival CrewOfVolunteers Volunteer	a='Festival' is an event/temporary activity, not a stable aggregator
90	Festival CrewOfDrivers Driver	a='Festival' is an event/temporary activity, not a stable aggregator
94	Market ShiftOfCashiers Cashier	people b prefix 'Shift' is not an allowed stable aggregation group
99	Bank ShiftOfClerks Clerk	people b prefix 'Shift' is not an allowed stable aggregation group
104	Cafe ShiftOfWaiters Waiter	people b prefix 'Shift' is not an allowed stable aggregation group
106	Restaurant KitchenOfChefs Chef	people b prefix 'Kitchen' is not an allowed stable aggregation group
115	Conference PanelOfDoctors Doctor	a='Conference' is an event/temporary activity, not a stable aggregator | people b prefix 'Panel' is not an allowed stable aggregation group
120	Hospital ShiftOfNurses Nurse	people b prefix 'Shift' is not an allowed stable aggregation group
121	Neighborhood FamilyOfParents Parent	people b prefix 'Family' is not an allowed stable aggregation group
123	Community CircleOfParents Parent	b uses temporary group type 'Circle' | people b prefix 'Circle' is not an allowed stable aggregation group
124	School CrowdOfParents Parent	b uses temporary group type 'Crowd' | people b prefix 'Crowd' is not an allowed stable aggregation group
129	Park CrowdOfChildren Child	b uses temporary group type 'Crowd' | people b prefix 'Crowd' is not an allowed stable aggregation group
130	Neighborhood FamilyOfChildren Child	people b prefix 'Family' is not an allowed stable aggregation group
135	Festival CrewOfNeighbors Neighbor	a='Festival' is an event/temporary activity, not a stable aggregator
140	Festival CrewOfFriends Friend	a='Festival' is an event/temporary activity, not a stable aggregator
141	Museum GroupOfVisitors Visitor	c='Visitor' is a transient role, reads as association (not aggregation)
142	Museum LineOfVisitors Visitor	b uses temporary group type 'Line' | c='Visitor' is a transient role, reads as association (not aggregation) | people b prefix 'Line' is not an allowed stable aggregation group
143	Park CrowdOfVisitors Visitor	b uses temporary group type 'Crowd' | c='Visitor' is a transient role, reads as association (not aggregation) | people b prefix 'Crowd' is not an allowed stable aggregation group
144	Club TeamOfVisitors Visitor	c='Visitor' is a transient role, reads as association (not aggregation)
145	School ClubOfVisitors Visitor	c='Visitor' is a transient role, reads as association (not aggregation)
146	Airport LineOfPassengers Passenger	b uses temporary group type 'Line' | c='Passenger' is a transient role, reads as association (not aggregation) | people b prefix 'Line' is not an allowed stable aggregation group
147	Terminal QueueOfPassengers Passenger	b uses temporary group type 'Queue' | c='Passenger' is a transient role, reads as association (not aggregation) | people b prefix 'Queue' is not an allowed stable aggregation group
148	Station CrowdOfPassengers Passenger	b uses temporary group type 'Crowd' | c='Passenger' is a transient role, reads as association (not aggregation) | people b prefix 'Crowd' is not an allowed stable aggregation group
149	Terminal GroupOfPassengers Passenger	c='Passenger' is a transient role, reads as association (not aggregation)
150	Airline StaffOfPassengers Passenger	c='Passenger' is a transient role, reads as association (not aggregation)
153	Library CircleOfReaders Reader	b uses temporary group type 'Circle' | people b prefix 'Circle' is not an allowed stable aggregation group
158	Cafe CircleOfWriters Writer	b uses temporary group type 'Circle' | people b prefix 'Circle' is not an allowed stable aggregation group
165	Festival CrewOfArtists Artist	a='Festival' is an event/temporary activity, not a stable aggregator
170	Festival CrewOfPainters Painter	a='Festival' is an event/temporary activity, not a stable aggregator
175	Festival CrewOfRunners Runner	a='Festival' is an event/temporary activity, not a stable aggregator
180	Festival CrewOfSwimmers Swimmer	a='Festival' is an event/temporary activity, not a stable aggregator
