Thunder Lightning Thundercloud
Tsunami Earthquake TectonicMovement
Wave Wind PressureDifference
Aurora SolarWind Sun
Smoke Combustion Oxygen
Echo Reflection SmoothSurface
Interference CoherentLight Laser
Photosynthesis Sunlight Sun
Fermentation Yeast Sugar
Pollination Pollinator Flower
Fog HighHumidity CoolAir
Cloud Condensation Cooling
Rain Cloud Condensation
Thunderstorm Convection WarmAir
Tornado WindShear PressureGradient
Halo IceCrystals CirrusCloud
Sundog IceCrystals CirrusCloud
Flood HeavyRain Thunderstorm
Seiche StandingWave BoundaryConditions
Mudslide SaturatedSoil HeavyRain
Geyser GeothermalHeat UndergroundWater
HotSpring GeothermalHeat UndergroundWater
Sunrise EarthRotation Earth
Sunset EarthRotation Earth
FiberOpticGuiding TotalInternalReflection RefractiveIndexContrast
MoirePattern Interference CoherentLight
Speckle CoherentLight Laser
Hologram Interference CoherentLight
EchoLocation Echo Reflection
SonarReturn Reflection SmoothSurface
TerminalVelocity Drag AirResistance
Bioluminescence LuciferinReaction Organism
FermentationAlcohol Yeast Sugar
BreadRising Yeast Sugar
Rainbow Sunlight Sun
OceanWave Wind PressureDifference
Wind StormSystem PressureGradient
Wind PressureSystem TemperatureContrast
PressureSystem TemperatureContrast Sunlight
Lightning Thundercloud StormSystem
Hail Thundercloud StormSystem
Hurricane WarmOceanSeaSurface TropicalOcean
Typhoon WarmOceanSeaSurface TropicalOcean
SeaBreeze TemperatureContrast Sunlight
TemperatureContrast Sunlight Sun
Dew CoolSurface NightSky
Frost ColdSurface NightSky
Snow ColdAir WinterStorm
Blizzard Snow LowTemperature
Mirage HotAir DesertSurface
IceCrystals CirrusCloud JetStream
Tsunami SeafloorQuake TectonicPlate
SeafloorQuake TectonicPlate MantleConvection
Aftershock SeafloorQuake TectonicPlate
Landslide SaturatedSoil HeavyRain
SaturatedSoil HeavyRain Thunderstorm
Avalanche Snowpack SteepSlope
Sinkhole Limestone BedrockDissolution
Echo HardSurface SoundWave
Refraction TransparentMedium LightRay
Diffraction NarrowGap Wavefront
Pollinator Flower Plant
Germination Water SeedCoat
Pollination Pollen Stamen
Sunburn UVRadiation Sun
GeomagneticStorm SolarWind Sun
ElNino OceanCurrent CoriolisEffect
OceanCurrent CoriolisEffect EarthRotation
Halo CirrusCloud JetStream
CirrusCloud JetStream PressureGradient
WindChill PolarAir ArcticOcean
LavaFlow Volcano Magma
Volcano Magma EarthHeat
Seiche SeafloorQuake TectonicPlate
CloudStreak CirrusCloud JetStream
AirQualityHazard VolcanicAsh Volcano
VolcanicAsh Volcano Magma
SeaIce FreezingTemperature PolarAir
FreezingTemperature PolarAir ArcticOcean
Convection WarmAir Sunlight
HeatWave WarmAir Sunlight
Seedling Germination Moisture
Germination SoilMoisture Rainfall
Snow ColdAirMass PolarAir
ColdAirMass PolarAir ArcticOcean
FreezingRain ColdAirMass PolarAir
RimeIce FreezingTemperature PolarAir
AllergicRhinitis Pollen Stamen
FlashFlood HeavyRain Thunderstorm
HeavyRain Thunderstorm Convection
Lightning Thunderstorm Convection
Thunderstorm WarmAir Sunlight
LavaFlow Magma EarthHeat
Magma EarthHeat EarthCore
VolcanicPlume Volcano Magma
LightPillar IceCrystals CirrusCloud
IceAlbedo SeaIce FreezingTemperature
BeeForaging Nectar Flower
LongshoreDrift WaveEnergy Wind
WaveEnergy Wind PressureDifference
PolarHabitat SeaIce FreezingTemperature
HurricaneSpin CoriolisEffect EarthRotation
CoriolisEffect EarthRotation Earth
GeothermalEnergy EarthHeat EarthCore
WindShear PressureGradient TemperatureContrast
PressureGradient TemperatureContrast Sunlight
LaNina OceanCurrent CoriolisEffect
AshFall VolcanicAsh Volcano
DeltaFormation RiverFlow Snowmelt
Erosion RiverFlow Snowmelt
Subduction TectonicPlate MantleConvection
TectonicPlate MantleConvection EarthHeat
SoilMoisture Rainfall StormSystem
SoilMoistureIncrease Rainfall StormSystem
Rainfall StormSystem PressureGradient
OceanGyre CoriolisEffect EarthRotation
EquatorialCurrent TradeWinds CoriolisEffect
ClearAirTurbulence JetStream PressureGradient
JetStream PressureGradient TemperatureContrast
PlantGrowth Germination Moisture
Thundercloud Thunderstorm Convection
StormTrack JetStream PressureGradient
SeaIceDrift SeaIce FreezingTemperature
HeavyRain StormSystem PressureGradient
StormSystem PressureGradient TemperatureContrast
PlateTectonics MantleConvection EarthHeat
MantleConvection EarthHeat EarthCore
SeedSet Pollination Pollinator
VolcanicEruption Magma EarthHeat
CoastalErosion WaveEnergy Wind
SedimentTransport RiverFlow Snowmelt
Earthquake TectonicPlate MantleConvection
PlantGrowth SoilMoisture Rainfall
FruitSet Pollination Pollinator
RiverRise Rainfall StormSystem
Composting Microorganisms Moisture
Rust Moisture Water
Rust Oxidation Oxygen
Touch Pressure Contact
Caustics Refraction WaterSurface
Dew Condensation TemperatureDrop
