Fireplace Firewood Forest
Hydropower River Rain
Car Gasoline CrudeOil
Rain WaterVapor Ocean
Sailboat Wind PressureDifference
SolarPower Sunlight Sun
TapWater Aquifer Rain
TapWater Reservoir Rain
Car EngineOil CrudeOil
DieselTruck Diesel CrudeOil
GardenHose TapWater Well
GardenLight SolarPower Sunlight
GasGrill Propane NaturalGas
Packaging Plastic Petroleum
Molding Plastic Petroleum
Printing Paper Trees
Glassmaking Sand Rock
NoteTaking Paper Trees
Knitting Wool Sheep
SaladDressing Oil Olives
Paving Asphalt CrudeOil
CeilingFan ExtensionCord WallOutlet
Microwave WallOutlet CircuitBreakerPanel
Refrigerator WallOutlet CircuitBreakerPanel
Television WallOutlet CircuitBreakerPanel
Brewing CoffeeBeans CoffeePlant
PowerGeneration CoalPlant Coal
PowerGeneration NuclearPlant Uranium
PowerGeneration GasPlant NaturalGas
Writing Pen Ink
Washing Soap Oil
Knitting WoolYarn Wool
Camping NylonTent Nylon
Fishing FishingLine Nylon
Coloring Marker Ink
Insulation PlasticFoam Oil
Climbing NylonRope Nylon
Weaving CottonFabric Cotton
Sewing CottonThread Cotton
Driving Car Gasoline
Erasing Eraser Rubber
Sketching Paper Trees
Roofing Tar Petroleum
Boating Sailboat Wind
Printing Printer Electricity
Wiring CopperWire Copper
NoteTaking Notebook Paper
PlasticPackaging Plastic Petroleum
PlasticBottling Plastic Petroleum
RubberTire Rubber Latex
PaperPrinting Paper Trees
CardboardBox Cardboard Paper
SoapMaking Oil Coconut
CandleMaking Wax Petroleum
AsphaltPaving Asphalt CrudeOil
PaintMixing Paint Pigment
PlasticRecycling Plastic Petroleum
NylonWeaving Nylon Petroleum
PolyesterClothing Polyester Petroleum
LatexGloves Latex RubberTree
SiliconeSealant Silicone Sand
GlassBottle Glass Sand
PlasticBag Plastic Petroleum
RubberBand Rubber Latex
BottleBlowing Plastic Petroleum
FilmWrapping Plastic Petroleum
RubberMolding Rubber Latex
RubberSealing Rubber Latex
PaperRecycling Paper Trees
BookBinding Paper Trees
PlasticInjection Plastic Petroleum
FoamCushion Foam Petroleum
WaterBottle Plastic Petroleum
Plumbing Hose Rubber
Raincoat Polyester Petroleum
Charging Smartphone Electricity
